City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Kapaa,US,78.78,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
9,Rikitea,PF,76.55,few clouds,-23.1203,-134.9692,Pension Maro'i
12,Mandera,KE,83.89,overcast clouds,3.9366,41.867,Kornesh Hotel and Lodging
14,Atuona,PF,80.08,overcast clouds,-9.8,-139.0333,Villa Enata
15,Tiarei,PF,80.62,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
24,Puerto Ayora,EC,84.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
31,Hilo,US,75.61,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
33,Veraval,IN,83.46,few clouds,20.9,70.3667,Lords Inn Somnath
49,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
58,Dingle,PH,77.25,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
65,Los Reyes,MX,79.07,clear sky,19.35,-98.9667,Hotel Cabaña Real
70,Padang,ID,77.86,overcast clouds,-0.9492,100.3543,Mercure Padang
72,Samarai,PG,79.05,broken clouds,-10.6167,150.6667,Nuli Sapi
73,Avarua,CK,75.25,overcast clouds,-21.2078,-159.775,Paradise Inn
74,Butaritari,KI,83.05,moderate rain,3.0707,172.7902,Isles Sunset Lodge
75,Hithadhoo,MV,84.06,broken clouds,-0.6,73.0833,Scoop Guest House
83,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
87,Salalah,OM,84.29,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
89,Jamestown,US,80.1,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
115,Broome,US,82.78,broken clouds,42.2506,-75.833,Chenango Valley State Park
116,Pentecoste,BR,82.67,broken clouds,-3.7928,-39.2703,Motel Big love
117,Santa Flavia,IT,76.73,broken clouds,38.085,13.5351,La Caletta
120,Faanui,PF,81.23,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
124,Hibbing,US,80.02,scattered clouds,47.4272,-92.9377,Mitchell-Tappan House
129,Santo Antonio Do Ica,BR,84.96,scattered clouds,-3.1022,-67.9397,Hotel Fogaça
130,Porto Novo,BJ,80.42,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
142,Remedios,CU,83.32,broken clouds,22.4947,-79.5458,Hostal Yunai
146,Arraial Do Cabo,BR,78.76,clear sky,-22.9661,-42.0278,Pousada Porto Praia
147,Bontang,ID,78.24,broken clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
148,Santa Rosa De Cabal,CO,76.24,scattered clouds,4.8681,-75.6214,Hotel Suite Santa Rosa
151,Kearney,US,79.0,overcast clouds,40.6995,-99.0815,Holiday Inn Kearney
154,Sumbe,AO,77.95,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
161,Mumford,GH,81.36,overcast clouds,5.2618,-0.759,Spanish Villa
169,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
176,Mangrol,IN,84.29,broken clouds,21.1167,70.1167,Hotel The Royal Honours
179,Itarema,BR,82.06,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
197,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
204,Vitoria Da Conquista,BR,80.85,overcast clouds,-14.8661,-40.8394,Hotel Universo
212,Muisne,EC,84.31,overcast clouds,0.6,-80.0333,Quinta Samay
213,Plover,US,81.84,scattered clouds,44.4564,-89.544,Hampton Inn Plover-Stevens Point
214,Ormara,PK,83.91,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
227,Acarau,BR,82.71,overcast clouds,-2.8856,-40.12,castelo pizzaria
230,Dawei,MM,77.79,overcast clouds,14.0833,98.2,Hotel Dawei
231,Marakkanam,IN,82.89,overcast clouds,12.2,79.95,OYO 73765 Ocean Breeze Guest House
232,Mitsamiouli,KM,78.89,scattered clouds,-11.3847,43.2844,Foyer ADM
236,Puerto Madero,MX,82.6,broken clouds,14.7208,-92.4215,Hotel La Central
239,Qui Nhon,VN,79.3,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
262,Bandiagara,ML,84.63,broken clouds,14.3501,-3.6104,Hotel de la Falaise
263,Kahului,US,78.06,few clouds,20.8947,-156.47,Maui Seaside Hotel
268,Haimen,CN,82.29,overcast clouds,23.1935,116.6142,Jinghao Business Hotel
269,Bengkulu,ID,76.53,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
271,Conceicao Do Rio Verde,BR,75.49,overcast clouds,-21.8808,-45.0853,Hotel Central
274,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
276,Maragogi,BR,79.41,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
282,Gizo,SB,82.11,light rain,-8.103,156.8419,Imagination Island
287,Belmonte,BR,82.9,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
290,Mana,GF,81.32,moderate rain,5.6592,-53.7767,LE SAMANA
291,Narsipatnam,IN,76.41,overcast clouds,17.6667,82.6167,Lodge Vooda Residency AC
293,Banda Aceh,ID,80.49,overcast clouds,5.5577,95.3222,Sulthan Hotel International
294,Port Blair,IN,81.1,moderate rain,11.6667,92.75,Welcomhotel Bay Island Port Blair
296,Pyay,MM,83.07,few clouds,18.8167,95.2167,Shwe Pyi Thar
298,Carutapera,BR,84.36,overcast clouds,-1.195,-46.02,Lidera
299,Kharian,PK,81.75,overcast clouds,32.8149,73.8636,College Hostel
304,Auki,SB,77.16,scattered clouds,-8.7676,160.7034,Auki Motel
308,Ratangarh,IN,84.29,scattered clouds,28.0833,74.6,Hotel Shri Laxmi Palace
315,Kandana,LK,84.22,scattered clouds,7.048,79.8937,Palm Village Hotel
321,Eyl,SO,80.49,overcast clouds,7.9803,49.8164,Amiin Hotel
325,Praia,CV,79.34,clear sky,14.9215,-23.5087,LT Aparthotel
327,Fare,PF,81.18,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
328,Oneonta,US,81.81,overcast clouds,42.4529,-75.0638,Hampton Inn Oneonta
342,Myitkyina,MM,77.22,scattered clouds,25.3833,97.4,Shwe Phyu Hotel
347,Kavaratti,IN,83.05,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
348,Kudahuvadhoo,MV,83.25,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
350,Akyab,MM,83.71,overcast clouds,20.15,92.9,Hotel Memory
