City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hobart,AU,-42.8794,147.3294,54.27,91,40,2.35,scattered clouds
1,Pogar,RU,52.554,33.2591,55.02,83,38,8.34,scattered clouds
2,Kamenka,RU,51.3223,42.7678,60.94,79,100,12.39,overcast clouds
3,Oblesevo,MK,41.8833,22.3339,68.95,65,60,4.61,broken clouds
4,Kapaa,US,22.0752,-159.319,78.78,68,40,3.0,scattered clouds
5,Lagoa,PT,39.05,-27.9833,59.38,61,5,11.34,clear sky
6,Hearst,CA,49.6835,-83.6665,48.45,87,100,8.72,overcast clouds
7,Mecca,SA,21.4267,39.8261,89.37,37,6,6.08,clear sky
8,Bredasdorp,ZA,-34.5322,20.0403,47.52,75,90,5.7,overcast clouds
9,Rikitea,PF,-23.1203,-134.9692,76.55,67,15,12.57,few clouds
10,Newport,GB,51.5877,-2.9984,54.88,64,64,11.77,broken clouds
11,Port Elizabeth,ZA,-33.918,25.5701,56.1,81,20,1.14,few clouds
12,Mandera,KE,3.9366,41.867,83.89,54,100,14.38,overcast clouds
13,Ushuaia,AR,-54.8,-68.3,38.86,93,75,1.14,broken clouds
14,Atuona,PF,-9.8,-139.0333,80.08,68,88,14.32,overcast clouds
15,Tiarei,PF,-17.5333,-149.3333,80.62,76,49,16.08,scattered clouds
16,Quatre Cocos,MU,-20.2078,57.7625,71.71,67,37,14.88,scattered clouds
17,Bethel,US,41.3712,-73.414,89.17,42,1,1.01,clear sky
18,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,68.92,32,1,12.93,clear sky
19,Mgachi,RU,51.05,142.2667,46.45,82,63,1.14,broken clouds
20,Turukhansk,RU,65.8167,87.9833,38.1,99,100,9.19,overcast clouds
21,Mataura,NZ,-46.1927,168.8643,37.42,96,0,1.95,clear sky
22,East London,ZA,-33.0153,27.9116,52.74,66,0,5.75,clear sky
23,Mikhaylovka,RU,50.06,43.2379,65.97,76,100,17.67,overcast clouds
24,Puerto Ayora,EC,-0.7393,-90.3518,84.16,79,85,8.99,overcast clouds
25,Port Alfred,ZA,-33.5906,26.891,59.11,58,1,7.49,clear sky
26,Puerto Escondido,MX,15.85,-97.0667,90.43,70,1,3.44,clear sky
27,Keuruu,FI,62.2667,24.7,51.98,85,83,5.39,broken clouds
28,Punta Arenas,CL,-53.15,-70.9167,46.51,80,40,3.76,scattered clouds
29,Bela,IN,25.9333,81.9833,91.33,32,0,5.91,clear sky
30,Mandalgovi,MN,45.7625,106.2708,33.01,69,37,13.78,scattered clouds
31,Hilo,US,19.7297,-155.09,75.61,81,40,6.91,scattered clouds
32,Albany,US,42.6001,-73.9662,85.64,40,100,3.0,overcast clouds
33,Veraval,IN,20.9,70.3667,83.46,80,11,11.86,few clouds
34,Nizwa,OM,22.9333,57.5333,94.78,15,56,6.29,broken clouds
35,Nemuro,JP,43.3236,145.575,41.85,98,100,17.85,overcast clouds
36,Faya,SA,18.3851,42.4509,69.91,53,2,5.35,clear sky
37,Busselton,AU,-33.65,115.3333,50.04,78,39,7.83,scattered clouds
38,Yellowknife,CA,62.456,-114.3525,49.28,53,90,1.99,overcast clouds
39,Bemidji,US,47.4736,-94.8803,73.69,73,90,10.36,overcast clouds
40,Bambous Virieux,MU,-20.3428,57.7575,71.85,64,75,14.99,broken clouds
41,New Norfolk,AU,-42.7826,147.0587,53.92,66,100,0.45,overcast clouds
42,Kirensk,RU,57.7853,108.1119,35.87,74,86,3.02,overcast clouds
43,Puerto Del Rosario,ES,28.5004,-13.8627,73.08,78,0,23.02,clear sky
44,Maizuru,JP,35.45,135.3333,60.4,92,10,3.11,clear sky
45,Warner Robins,US,32.621,-83.5999,85.46,45,75,6.91,broken clouds
46,Hofn,IS,64.2539,-15.2082,43.03,67,98,14.97,overcast clouds
47,Bluff,NZ,-46.6,168.3333,45.66,87,6,10.07,clear sky
48,Saint-Philippe,RE,-21.3585,55.7679,72.99,66,86,11.68,overcast clouds
49,Vaini,TO,-21.2,-175.2,75.36,100,75,2.3,light rain
50,Chuy,UY,-33.6971,-53.4616,59.29,76,61,16.87,broken clouds
51,Grand Gaube,MU,-20.0064,57.6608,72.0,76,10,3.0,clear sky
52,Hermanus,ZA,-34.4187,19.2345,54.9,61,84,5.19,broken clouds
53,Toamasina,MG,-18.1667,49.3833,68.0,94,40,6.91,light rain
54,Forbes,AU,-33.3833,148.0167,45.91,87,0,5.12,clear sky
